BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
2.82,0,0,0,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,0,0,3.85,0,2-4H
0,0,0,0,0,0,0,2.84,0,0,2-4H
0,0,0,0,0,0,7.07,0,0,0,MAIOR 4H
0,0,0,0,6.75,6.75,0,0,0,0,MAIOR 4H
0,0,0,0,0,0,1.28,0,0,0,1-2H
0,0,0,0,0,0,1.07,0,0,0,1-2H
0,1.14,0,0,0,0,0,1.14,0,0,1-2H
4.63,0,0,0,0,0,0,0,0,0,MAIOR 4H
5.09,0,0,0,0,0,0,5.09,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.21,0,MAIOR 4H
0,0,0,0,0,0,0,0,0,8.07,MAIOR 4H
0,0,0,5.72,0,0,0,0,0,0,MAIOR 4H
0,0,0,5.81,0,0,0,0,0,0,MAIOR 4H
0,0,0,3.98,0,0,0,0,0,0,2-4H
0,0,0,3.74,0,0,0,0,0,0,2-4H
0,0,0,0,0,0,4.81,0,0,0,MAIOR 4H
0,0,0,0,0,0,0,0,6.12,0,MAIOR 4H
