BENNER,ESTOQUE,ANAMNESE,MICRO,MONITO,MOUSE,ACESS,ERRO,IMPRESSORA,SIHOSP,TEMPO
0,0,0,0,0,0,0,0,0,0,0,093645833
0,0,0,0,0,0,0,1,0,0,12,00475694
1,0,0,0,0,0,1,0,0,0,1,07837963
0,0,0,0,0,0,0,1,0,0,56,16916667
0,1,0,0,0,0,0,0,0,0,12,09997685
0,1,0,0,0,0,0,0,0,0,2,173587963
1,0,0,0,0,0,0,0,0,0,2,077199074
0,0,0,0,0,0,0,0,0,0,0,225925926
0,0,0,0,0,0,0,0,0,0,0,142650463
0,0,0,0,0,0,0,0,0,0,333,1948264
0,0,0,0,0,0,0,0,0,1,33,99871528
0,0,0,1,0,0,0,0,0,0,0,236226852
0,0,0,0,0,0,0,0,0,0,0,827511574
0,0,0,0,0,0,0,0,0,0,118,1433912
0,0,0,0,0,0,0,0,0,0,2,002025463
